germplasmName,trait_name,value,location,year,studyName,trait_abbrev,env_id
A7,Yield - kg/ha,6268,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A7,Yield - kg/ha,6261,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A7,Yield - kg/ha,5331,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A7,Yield - kg/ha,4881,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A7,Yield - kg/ha,6346,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A7,Yield - kg/ha,5621,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A7,Yield - kg/ha,5253,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A7,Yield - kg/ha,5546,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A7,Yield - kg/ha,5484,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A8,Yield - kg/ha,5033,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A8,Yield - kg/ha,5120,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A8,Yield - kg/ha,5180,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A8,Yield - kg/ha,6145,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A8,Yield - kg/ha,5700,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A8,Yield - kg/ha,5513,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A8,Yield - kg/ha,5300,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A8,Yield - kg/ha,4659,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A8,Yield - kg/ha,4909,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A9,Yield - kg/ha,5443,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A9,Yield - kg/ha,5219,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A9,Yield - kg/ha,6480,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A9,Yield - kg/ha,5777,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A9,Yield - kg/ha,6256,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A9,Yield - kg/ha,5545,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A9,Yield - kg/ha,4569,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A9,Yield - kg/ha,5707,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A9,Yield - kg/ha,4615,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A10,Yield - kg/ha,4518,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A10,Yield - kg/ha,5501,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A10,Yield - kg/ha,4671,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A10,Yield - kg/ha,5460,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A10,Yield - kg/ha,5903,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A10,Yield - kg/ha,5843,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A10,Yield - kg/ha,6058,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A10,Yield - kg/ha,4850,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A10,Yield - kg/ha,5810,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A11,Yield - kg/ha,5626,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A11,Yield - kg/ha,5481,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A11,Yield - kg/ha,5273,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A11,Yield - kg/ha,6363,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A11,Yield - kg/ha,5104,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A11,Yield - kg/ha,4763,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A11,Yield - kg/ha,6248,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A11,Yield - kg/ha,5730,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A11,Yield - kg/ha,6404,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A12,Yield - kg/ha,5559,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A12,Yield - kg/ha,6193,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A12,Yield - kg/ha,6491,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A12,Yield - kg/ha,5340,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A12,Yield - kg/ha,5533,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A12,Yield - kg/ha,5463,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A12,Yield - kg/ha,4859,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A12,Yield - kg/ha,5605,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A12,Yield - kg/ha,4622,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A13,Yield - kg/ha,5144,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A13,Yield - kg/ha,6170,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A13,Yield - kg/ha,4782,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A13,Yield - kg/ha,5387,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A13,Yield - kg/ha,6426,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A13,Yield - kg/ha,6222,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A13,Yield - kg/ha,5284,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A13,Yield - kg/ha,5599,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A13,Yield - kg/ha,5767,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A14,Yield - kg/ha,6161,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A14,Yield - kg/ha,5692,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A14,Yield - kg/ha,5499,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A14,Yield - kg/ha,6200,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A14,Yield - kg/ha,5768,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A14,Yield - kg/ha,6050,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A14,Yield - kg/ha,5620,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A14,Yield - kg/ha,5075,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A14,Yield - kg/ha,6339,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A15,Yield - kg/ha,4740,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A15,Yield - kg/ha,6175,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A15,Yield - kg/ha,5204,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A15,Yield - kg/ha,6050,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A15,Yield - kg/ha,6333,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A15,Yield - kg/ha,6072,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A15,Yield - kg/ha,6013,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A15,Yield - kg/ha,5134,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A15,Yield - kg/ha,5602,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A16,Yield - kg/ha,5510,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A16,Yield - kg/ha,5805,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A16,Yield - kg/ha,4515,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A16,Yield - kg/ha,4766,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A16,Yield - kg/ha,5391,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A16,Yield - kg/ha,5922,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A16,Yield - kg/ha,5887,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A16,Yield - kg/ha,5455,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A16,Yield - kg/ha,5098,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A17,Yield - kg/ha,6190,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A17,Yield - kg/ha,5916,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A17,Yield - kg/ha,5869,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A17,Yield - kg/ha,5992,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A17,Yield - kg/ha,5674,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A17,Yield - kg/ha,5180,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A17,Yield - kg/ha,5838,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A17,Yield - kg/ha,6337,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A17,Yield - kg/ha,5069,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A18,Yield - kg/ha,5017,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A18,Yield - kg/ha,6250,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A18,Yield - kg/ha,5952,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A18,Yield - kg/ha,4715,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A18,Yield - kg/ha,5610,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A18,Yield - kg/ha,4959,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A18,Yield - kg/ha,6414,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A18,Yield - kg/ha,5982,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A18,Yield - kg/ha,6213,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A19,Yield - kg/ha,4548,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A19,Yield - kg/ha,4527,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A19,Yield - kg/ha,5541,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A19,Yield - kg/ha,4999,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A19,Yield - kg/ha,5902,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A19,Yield - kg/ha,5183,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A19,Yield - kg/ha,5647,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A19,Yield - kg/ha,4644,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A19,Yield - kg/ha,5444,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A20,Yield - kg/ha,6091,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A20,Yield - kg/ha,5941,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A20,Yield - kg/ha,4831,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A20,Yield - kg/ha,5970,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A20,Yield - kg/ha,5727,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A20,Yield - kg/ha,5307,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A20,Yield - kg/ha,4552,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A20,Yield - kg/ha,6033,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A20,Yield - kg/ha,5922,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A21,Yield - kg/ha,5893,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A21,Yield - kg/ha,5113,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A21,Yield - kg/ha,5937,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A21,Yield - kg/ha,5507,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A21,Yield - kg/ha,5353,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A21,Yield - kg/ha,4975,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A21,Yield - kg/ha,6251,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A21,Yield - kg/ha,5347,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A21,Yield - kg/ha,5608,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A22,Yield - kg/ha,6152,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A22,Yield - kg/ha,6265,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A22,Yield - kg/ha,6271,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A22,Yield - kg/ha,4620,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A22,Yield - kg/ha,4513,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A22,Yield - kg/ha,5058,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A22,Yield - kg/ha,5780,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A22,Yield - kg/ha,5169,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A22,Yield - kg/ha,5389,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A23,Yield - kg/ha,4631,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A23,Yield - kg/ha,5777,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
A23,Yield - kg/ha,5907,Big6,,25_Big6_SVREC_SVREC,YLD kg/ha,Big6_nan_25_Big6_SVREC_SVREC
A23,Yield - kg/ha,5156,2025,2025.0,OHRWW_2025_SPO,YLD kg/ha,2025_2025.0_OHRWW_2025_SPO
A23,Yield - kg/ha,5134,2025,2025.0,CornellMaster_2025_McGowan,YLD kg/ha,2025_2025.0_CornellMaster_2025_McGowan
A23,Yield - kg/ha,5530,AY2-3,,24Crk_AY2-3,YLD kg/ha,AY2-3_nan_24Crk_AY2-3
A23,Yield - kg/ha,5451,AYT,2025.0,2025_AYT_Aurora,YLD kg/ha,AYT_2025.0_2025_AYT_Aurora
A23,Yield - kg/ha,5282,Urb,,YT_Urb_25,YLD kg/ha,Urb_nan_YT_Urb_25
A23,Yield - kg/ha,5650,2025,2025.0,STP1_2025_MCG,YLD kg/ha,2025_2025.0_STP1_2025_MCG
A24,Yield - kg/ha,5971,DVPWA,2024.0,AWY1_DVPWA_2024,YLD kg/ha,DVPWA_2024.0_AWY1_DVPWA_2024
A24,Yield - kg/ha,4616,2025,2025.0,TCAP_2025_MANKS,YLD kg/ha,2025_2025.0_TCAP_2025_MANKS
