studyName,germplasmName,value,traitName
2022_Elite_Winner,EXPEDITION,3994.7,Grain yield - kg/ha
2022_Elite_Winner,OVERLAND,4102.3,Grain yield - kg/ha
2022_Elite_Winner,EXPEDITION,4418.4,Grain yield - kg/ha
2022WWABCD,YELLOWSTONE,4025.19619625925,Grain yield - kg/ha
2022WWABCD,YELLOWSTONE,4167.34632922289,Grain yield - kg/ha
2022WWABCD,YELLOWSTONE,4212.33880250037,Grain yield - kg/ha
2022WWCKVD,YELLOWSTONE,2138.7726427556,Grain yield - kg/ha
2022WWCKVD,YELLOWSTONE,2727.36982940013,Grain yield - kg/ha
2022WWCKVD,YELLOWSTONE,2549.79084066728,Grain yield - kg/ha
2022WWCMTD,YELLOWSTONE,604.681452453871,Grain yield - kg/ha
2022WWCMTD,YELLOWSTONE,514.261796012171,Grain yield - kg/ha
2022WWCMTD,YELLOWSTONE,559.471624233021,Grain yield - kg/ha
2022WWCNED,YELLOWSTONE,616.201264452453,Grain yield - kg/ha
2022WWCNED,YELLOWSTONE,331.683643581814,Grain yield - kg/ha
2022WWCNED,YELLOWSTONE,1328.69076881758,Grain yield - kg/ha
2023_AYT_Aurora,EXPEDITION,2155.23,Grain yield - kg/ha
2023_AYT_Aurora,OVERLAND,3365.21,Grain yield - kg/ha
2023_AYT_Aurora,OVERLAND,5227.70,Grain yield - kg/ha
2023_AYT_Aurora,EXPEDITION,5012.36,Grain yield - kg/ha
2023_AYT_Dakota_Lakes,EXPEDITION,2738.39,Grain yield - kg/ha
2023_AYT_Dakota_Lakes,OVERLAND,3530.98,Grain yield - kg/ha
2023_AYT_Dakota_Lakes,OVERLAND,3411.22,Grain yield - kg/ha
2023_AYT_Dakota_Lakes,EXPEDITION,2779.14,Grain yield - kg/ha
2023_AYT_Winner,EXPEDITION,3211.84,Grain yield - kg/ha
2023_AYT_Winner,OVERLAND,3253.66,Grain yield - kg/ha
2023_AYT_Winner,OVERLAND,3139.69,Grain yield - kg/ha
2023_AYT_Winner,EXPEDITION,3625.44,Grain yield - kg/ha
2023_Elite_AURORA,EXPEDITION,3068.85,Grain yield - kg/ha
2023_Elite_AURORA,OVERLAND,3381.32,Grain yield - kg/ha
2023_Elite_AURORA,OVERLAND,4691.87,Grain yield - kg/ha
2023_Elite_AURORA,EXPEDITION,4406.49,Grain yield - kg/ha
2023_Elite_AURORA,OVERLAND,5292.68,Grain yield - kg/ha
2023_Elite_AURORA,EXPEDITION,5497.48,Grain yield - kg/ha
2023_Elite_Dakota_Lakes,EXPEDITION,2891.10,Grain yield - kg/ha
2023_Elite_Dakota_Lakes,OVERLAND,3600.67,Grain yield - kg/ha
2023_Elite_Dakota_Lakes,OVERLAND,3398.76,Grain yield - kg/ha
2023_Elite_Dakota_Lakes,EXPEDITION,3972.39,Grain yield - kg/ha
2023_Elite_Dakota_Lakes,OVERLAND,3140.88,Grain yield - kg/ha
2023_Elite_Dakota_Lakes,EXPEDITION,2830.39,Grain yield - kg/ha
2023_Elite_Winner,EXPEDITION,3412.17,Grain yield - kg/ha
2023_Elite_Winner,OVERLAND,2839.11,Grain yield - kg/ha
2023_Elite_Winner,OVERLAND,3102.05,Grain yield - kg/ha
2023_Elite_Winner,EXPEDITION,2451.13,Grain yield - kg/ha
2023_Elite_Winner,OVERLAND,3088.35,Grain yield - kg/ha
2023_Elite_Winner,EXPEDITION,3180.89,Grain yield - kg/ha
2023WWCEVD,YELLOWSTONE,860.496568,Grain yield - kg/ha
2023WWCEVD,YELLOWSTONE,1541.895088,Grain yield - kg/ha
2023WWCEVD,YELLOWSTONE,1236.950232,Grain yield - kg/ha
2023WWCKVD,YELLOWSTONE,1959.210928,Grain yield - kg/ha
2023WWCKVD,YELLOWSTONE,1231.516432,Grain yield - kg/ha
2023WWCKVD,YELLOWSTONE,1398.008064,Grain yield - kg/ha
2023WWCMTD,YELLOWSTONE,498.4830123,Grain yield - kg/ha
2023WWCMTD,YELLOWSTONE,347.84254155,Grain yield - kg/ha
2023WWCMTD,YELLOWSTONE,343.14725415,Grain yield - kg/ha
2023WWCNED,YELLOWSTONE,1681.435072,Grain yield - kg/ha
2023WWCNED,YELLOWSTONE,1155.22588,Grain yield - kg/ha
2023WWCNED,YELLOWSTONE,1099.149064,Grain yield - kg/ha
20_AeTa_Colby_Dryland_Yield_Trials,KanMark,3018.18,Grain yield - kg/ha
20_AeTa_Colby_Dryland_Yield_Trials,KanMark,4083.42,Grain yield - kg/ha
20_AeTa_Colby_Irrigated_Yield_Trials,KanMark,4405.5475,Grain yield - kg/ha
22COLKS_TCAP_C,TAM401,4182.45290369318,Grain yield - kg/ha
22COLKS_TCAP_C,ROBIDOUX,3576.71834522727,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,3947.83330581818,Grain yield - kg/ha
22COLKS_TCAP_C,LOCKETT,3733.2460828125,Grain yield - kg/ha
22COLKS_TCAP_C,SPARTAN,3105.66203401136,Grain yield - kg/ha
22COLKS_TCAP_C,ANTELOPE,3190.85475813636,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,2243.20257981818,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,4451.05079659091,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,3488.10309294318,Grain yield - kg/ha
22COLKS_TCAP_C,TX99U8618,3349.72004717046,Grain yield - kg/ha
22COLKS_TCAP_C,OK05723W,3569.50280905682,Grain yield - kg/ha
22COLKS_TCAP_C,TAM302,3258.52907781818,Grain yield - kg/ha
22COLKS_TCAP_C,CENTURA,3821.71137896591,Grain yield - kg/ha
22COLKS_TCAP_C,OK05122,3714.66034355682,Grain yield - kg/ha
22COLKS_TCAP_C,TX06A001386,3593.58399945455,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,2861.08358486932,Grain yield - kg/ha
22COLKS_TCAP_C,TAM304,4101.95292436364,Grain yield - kg/ha
22COLKS_TCAP_C,OK06114,3858.91814127273,Grain yield - kg/ha
22COLKS_TCAP_C,TX04M410211,4395.08187605114,Grain yield - kg/ha
22COLKS_TCAP_C,TX04A001246,4650.58065988636,Grain yield - kg/ha
22COLKS_TCAP_C,COLT,4095.39013840909,Grain yield - kg/ha
22COLKS_TCAP_C,NI06736,4478.61626178977,Grain yield - kg/ha
22COLKS_TCAP_C,VISTA,4800.30744589773,Grain yield - kg/ha
22COLKS_TCAP_C,BOND_CL,4681.12760580114,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,4179.69194669886,Grain yield - kg/ha
22COLKS_TCAP_C,EXPEDITION,5357.74730933523,Grain yield - kg/ha
22COLKS_TCAP_C,OK04505,4928.15827872727,Grain yield - kg/ha
22COLKS_TCAP_C,JAGALENE,5793.01703101136,Grain yield - kg/ha
22COLKS_TCAP_C,TX07A001420,5662.73161629545,Grain yield - kg/ha
22COLKS_TCAP_C,ROBIDOUX,3376.659225,Grain yield - kg/ha
22COLKS_TCAP_C,OK06114,5335.1215755,Grain yield - kg/ha
22COLKS_TCAP_C,CULVER,5247.86474934091,Grain yield - kg/ha
22COLKS_TCAP_C,ARAPAHOE,4264.61122140909,Grain yield - kg/ha
22COLKS_TCAP_C,OK05711W,4830.49273290909,Grain yield - kg/ha
22COLKS_TCAP_C,TAM304,5564.50152975,Grain yield - kg/ha
22COLKS_TCAP_C,BOND_CL,5147.64112835227,Grain yield - kg/ha
22COLKS_TCAP_C,TX07A001420,4893.66836867045,Grain yield - kg/ha
22COLKS_TCAP_C,OK05511,4795.1471908125,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,3951.079415,Grain yield - kg/ha
22COLKS_TCAP_C,LOCKETT,5098.00564909659,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,5261.8635951875,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,3926.61010285227,Grain yield - kg/ha
22COLKS_TCAP_C,W04-417,5041.48982972727,Grain yield - kg/ha
22COLKS_TCAP_C,VISTA,5226.3504550625,Grain yield - kg/ha
22COLKS_TCAP_C,SANDY,4515.214378625,Grain yield - kg/ha
22COLKS_TCAP_C,TX02A0252,5302.88982835227,Grain yield - kg/ha
22COLKS_TCAP_C,THUNDERBOLT,4310.65657447727,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,4829.46950284091,Grain yield - kg/ha
22COLKS_TCAP_C,TX99U8618,5107.64694620455,Grain yield - kg/ha
22COLKS_TCAP_C,NUHORIZON,5201.07843656818,Grain yield - kg/ha
22COLKS_TCAP_C,CULVER,4644.81175932955,Grain yield - kg/ha
22COLKS_TCAP_C,TX06V7266,4395.08187605114,Grain yield - kg/ha
22COLKS_TCAP_C,ALLIANCE,4995.92080789773,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,5378.09723836364,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,5001.08106298296,Grain yield - kg/ha
22COLKS_TCAP_C,TAM304,5592.74620801136,Grain yield - kg/ha
22COLKS_TCAP_C,TX01V5134RC-3,5183.54239022727,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,4707.8197970625,Grain yield - kg/ha
22COLKS_TCAP_C,TX04A001246,4983.48327,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,4535.83775706818,Grain yield - kg/ha
22COLKS_TCAP_C,OK05511,4767.37002284091,Grain yield - kg/ha
22COLKS_TCAP_C,TAM302,4618.37537558523,Grain yield - kg/ha
22COLKS_TCAP_C,SPARTAN,4912.56284113636,Grain yield - kg/ha
22COLKS_TCAP_C,NI06736,4629.66619013068,Grain yield - kg/ha
22COLKS_TCAP_C,KanMark,3903.26987215909,Grain yield - kg/ha
22COLKS_TCAP_C,THUNDERBOLT,3625.057145,Grain yield - kg/ha
22COLKS_TCAP_C,CENTURA,4438.2692416875,Grain yield - kg/ha
22COLKS_TCAP_C,TX06A001386,4535.86421991477,Grain yield - kg/ha
22COLKS_TDicQual,KanMark,3622.59610026705,Grain yield - kg/ha
22COLKS_TDicQual,KanMark,4362.98244313636,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,1368.21991867191,Grain yield - kg/ha
22HAYKS_TCAP_C,TX01V5134RC-3,1276.60278281719,Grain yield - kg/ha
22HAYKS_TCAP_C,CULVER,1551.17955895943,Grain yield - kg/ha
22HAYKS_TCAP_C,TX07A001420,1860.67331139773,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,1547.39731250568,Grain yield - kg/ha
22HAYKS_TCAP_C,SPARTAN,1253.3918231296,Grain yield - kg/ha
22HAYKS_TCAP_C,W04-417,1059.96715906639,Grain yield - kg/ha
22HAYKS_TCAP_C,OK04505,2006.2983561875,Grain yield - kg/ha
22HAYKS_TCAP_C,ROBIDOUX,1400.038986548,Grain yield - kg/ha
22HAYKS_TCAP_C,VISTA,1237.91785000455,Grain yield - kg/ha
22HAYKS_TCAP_C,LOCKETT,804.646602502955,Grain yield - kg/ha
22HAYKS_TCAP_C,EXPEDITION,1114.12606500409,Grain yield - kg/ha
22HAYKS_TCAP_C,TX02A0252,1725.34800344384,Grain yield - kg/ha
22HAYKS_TCAP_C,JUDEE,750.487696565256,Grain yield - kg/ha
22HAYKS_TCAP_C,TX04A001246,2022.15842224432,Grain yield - kg/ha
22HAYKS_TCAP_C,TX07A001420,1336.40085079582,Grain yield - kg/ha
22HAYKS_TCAP_C,OK06114,2240.47690661932,Grain yield - kg/ha
22HAYKS_TCAP_C,TAM302,2091.53518505682,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,2780.38072371591,Grain yield - kg/ha
22HAYKS_TCAP_C,SPARTAN,2764.54535631591,Grain yield - kg/ha
22HAYKS_TCAP_C,TAM401,3270.80783863636,Grain yield - kg/ha
22HAYKS_TCAP_C,OK05511,5833.68786814642,Grain yield - kg/ha
22HAYKS_TCAP_C,TAM304,3282.44619856705,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,3479.30155016705,Grain yield - kg/ha
22HAYKS_TCAP_C,CENTURA,3280.66083851705,Grain yield - kg/ha
22HAYKS_TCAP_C,TX99U8618,2807.23169205682,Grain yield - kg/ha
22HAYKS_TCAP_C,NI06736,3751.84946396591,Grain yield - kg/ha
22HAYKS_TCAP_C,ALICE,3641.0671671875,Grain yield - kg/ha
22HAYKS_TCAP_C,TX06V7266,3744.21052225,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,2970.93086106818,Grain yield - kg/ha
22HAYKS_TCAP_C,BOND_CL,3897.81852576136,Grain yield - kg/ha
22HAYKS_TCAP_C,THUNDERBOLT,3714.03582037727,Grain yield - kg/ha
22HAYKS_TCAP_C,CENTURA,3611.48523307841,Grain yield - kg/ha
22HAYKS_TCAP_C,GOODSTREAK,3399.94653,Grain yield - kg/ha
22HAYKS_TCAP_C,ROBIDOUX,3006.51456878409,Grain yield - kg/ha
22HAYKS_TCAP_C,ANTELOPE,3415.18912963636,Grain yield - kg/ha
22HAYKS_TCAP_C,TX06A001386,3695.53652642045,Grain yield - kg/ha
22HAYKS_TCAP_C,OK06114,3588.77746441875,Grain yield - kg/ha
22HAYKS_TCAP_C,NUHORIZON,3902.21135829545,Grain yield - kg/ha
22HAYKS_TCAP_C,TX04M410211,3512.32541852273,Grain yield - kg/ha
22HAYKS_TCAP_C,JAGALENE,2228.33928098295,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,2035.75150444318,Grain yield - kg/ha
22HAYKS_TCAP_C,LOCKETT,1980.73697528666,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,3195.80331044886,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,2983.3172374625,Grain yield - kg/ha
22HAYKS_TCAP_C,ARAPAHOE,2544.13807125,Grain yield - kg/ha
22HAYKS_TCAP_C,TX99U8618,3449.90838436364,Grain yield - kg/ha
22HAYKS_TCAP_C,OK05122,3156.15314530682,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,4303.299903125,Grain yield - kg/ha
22HAYKS_TCAP_C,COLT,3465.0539535625,Grain yield - kg/ha
22HAYKS_TCAP_C,CULVER,3646.44794599432,Grain yield - kg/ha
22HAYKS_TCAP_C,ALLIANCE,3442.37529403409,Grain yield - kg/ha
22HAYKS_TCAP_C,OK05511,3353.5465747875,Grain yield - kg/ha
22HAYKS_TCAP_C,TAM304,3418.54991115341,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,4076.76029440909,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,2612.17316774034,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,3349.72004717046,Grain yield - kg/ha
22HAYKS_TCAP_C,TX04A001246,3672.72555265909,Grain yield - kg/ha
22HAYKS_TCAP_C,TX06A001386,2284.13178254545,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,3159.85441545,Grain yield - kg/ha
22HAYKS_TCAP_C,NI06736,2083.27877692045,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,2735.86139480114,Grain yield - kg/ha
22HAYKS_TCAP_C,OK05723W,3495.78613940341,Grain yield - kg/ha
22HAYKS_TCAP_C,TAM302,3186.21493903409,Grain yield - kg/ha
22HAYKS_TCAP_C,BOND_CL,3158.71122047727,Grain yield - kg/ha
22HAYKS_TCAP_C,VISTA,2903.79902974148,Grain yield - kg/ha
22HAYKS_TCAP_C,SANDY,2838.95182417045,Grain yield - kg/ha
22HAYKS_TCAP_C,TAM304,3188.08498019318,Grain yield - kg/ha
22HAYKS_TCAP_C,THUNDERBOLT,2952.85673684659,Grain yield - kg/ha
22HAYKS_TCAP_C,KanMark,3159.311045,Grain yield - kg/ha
22HAYKS_TDicQual,KanMark,2425,Grain yield - kg/ha
22HAYKS_TDicQual,KanMark,3334,Grain yield - kg/ha
22HUTKS_TCAP_C,TX02A0252,3378,Grain yield - kg/ha
22HUTKS_TCAP_C,BOND_CL,2561.38892045455,Grain yield - kg/ha
22HUTKS_TCAP_C,ROBIDOUX,3460.43484467614,Grain yield - kg/ha
22HUTKS_TCAP_C,OK05723W,1980,Grain yield - kg/ha
22HUTKS_TCAP_C,OK05511,2747,Grain yield - kg/ha
22HUTKS_TCAP_C,HARRY,3234.91732954545,Grain yield - kg/ha
22HUTKS_TCAP_C,TX99U8618,2118,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,2266,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,2109,Grain yield - kg/ha
22HUTKS_TCAP_C,LOCKETT,2440.44573863636,Grain yield - kg/ha
22HUTKS_TCAP_C,TAM304,2718.46909090909,Grain yield - kg/ha
22HUTKS_TCAP_C,ALLIANCE,3070.10096590909,Grain yield - kg/ha
22HUTKS_TCAP_C,ARAPAHOE,2806.07991477273,Grain yield - kg/ha
22HUTKS_TCAP_C,TX06V7266,3260.13815340909,Grain yield - kg/ha
22HUTKS_TCAP_C,CENTURA,2565,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,2907.14045454545,Grain yield - kg/ha
22HUTKS_TCAP_C,JAGALENE,3294,Grain yield - kg/ha
22HUTKS_TCAP_C,CULVER,3077.25329545455,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3175,Grain yield - kg/ha
22HUTKS_TCAP_C,TX06A001386,3645.72795454545,Grain yield - kg/ha
22HUTKS_TCAP_C,TX04M410211,3220,Grain yield - kg/ha
22HUTKS_TCAP_C,NUHORIZON,3851.49818181818,Grain yield - kg/ha
22HUTKS_TCAP_C,THUNDERBOLT,3841.61420454545,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,4160.02840909091,Grain yield - kg/ha
22HUTKS_TCAP_C,TX07A001420,3460,Grain yield - kg/ha
22HUTKS_TCAP_C,LOCKETT,3516,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3533.521875,Grain yield - kg/ha
22HUTKS_TCAP_C,COLT,3081.43417613636,Grain yield - kg/ha
22HUTKS_TCAP_C,TAM304,3795,Grain yield - kg/ha
22HUTKS_TCAP_C,OK05511,3549.96389204545,Grain yield - kg/ha
22HUTKS_TCAP_C,OK05122,4300.31207386364,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3496.07119318182,Grain yield - kg/ha
22HUTKS_TCAP_C,SPARTAN,3569.075,Grain yield - kg/ha
22HUTKS_TCAP_C,W04-417,3407.87650568182,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3367.82971590909,Grain yield - kg/ha
22HUTKS_TCAP_C,SPARTAN,4142,Grain yield - kg/ha
22HUTKS_TCAP_C,OK06114,3991,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3891.01323863636,Grain yield - kg/ha
22HUTKS_TCAP_C,NI06736,3533.50102272727,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3409,Grain yield - kg/ha
22HUTKS_TCAP_C,EXPEDITION,3745,Grain yield - kg/ha
22HUTKS_TCAP_C,VISTA,2808,Grain yield - kg/ha
22HUTKS_TCAP_C,NI06736,4261,Grain yield - kg/ha
22HUTKS_TCAP_C,OK04505,4055,Grain yield - kg/ha
22HUTKS_TCAP_C,TX06A001386,3821,Grain yield - kg/ha
22HUTKS_TCAP_C,CULVER,3750,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3731.13886363636,Grain yield - kg/ha
22HUTKS_TCAP_C,CENTURA,2757.50454545455,Grain yield - kg/ha
22HUTKS_TCAP_C,TX04A001246,4270,Grain yield - kg/ha
22HUTKS_TCAP_C,TAM304,3068.78727272727,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3850,Grain yield - kg/ha
22HUTKS_TCAP_C,ROBIDOUX,3927,Grain yield - kg/ha
22HUTKS_TCAP_C,OK06114,4380.35352272727,Grain yield - kg/ha
22HUTKS_TCAP_C,TAM302,4081.83238636364,Grain yield - kg/ha
22HUTKS_TCAP_C,SANDY,4244.82417613636,Grain yield - kg/ha
22HUTKS_TCAP_C,TX99U8618,3905.04681818182,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,4097,Grain yield - kg/ha
22HUTKS_TCAP_C,THUNDERBOLT,4510,Grain yield - kg/ha
22HUTKS_TCAP_C,TX07A001420,4198.78235795455,Grain yield - kg/ha
22HUTKS_TCAP_C,TX01V5134RC-3,4046,Grain yield - kg/ha
22HUTKS_TCAP_C,ANTELOPE,4059.74982954546,Grain yield - kg/ha
22HUTKS_TCAP_C,TAM302,4254,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3782.8525,Grain yield - kg/ha
22HUTKS_TCAP_C,TAM401,3950,Grain yield - kg/ha
22HUTKS_TCAP_C,BOND_CL,4208,Grain yield - kg/ha
22HUTKS_TCAP_C,TX04A001246,3795.94772727273,Grain yield - kg/ha
22HUTKS_TCAP_C,KanMark,3586.19471590909,Grain yield - kg/ha
22HUTKS_TDicQual,KanMark,4023,Grain yield - kg/ha
22HUTKS_TDicQual,KanMark,4251,Grain yield - kg/ha
22MANKS_TCAP_C,ANTELOPE,3050,Grain yield - kg/ha
22MANKS_TCAP_C,OK05511,3073,Grain yield - kg/ha
22MANKS_TCAP_C,VISTA,2112,Grain yield - kg/ha
22MANKS_TCAP_C,NI06736,2685,Grain yield - kg/ha
22MANKS_TCAP_C,SPARTAN,2903,Grain yield - kg/ha
22MANKS_TCAP_C,TAM304,2920,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2810,Grain yield - kg/ha
22MANKS_TCAP_C,CULVER,3181,Grain yield - kg/ha
22MANKS_TCAP_C,OK06114,2215,Grain yield - kg/ha
22MANKS_TCAP_C,EXPEDITION,2699,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2517,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2633,Grain yield - kg/ha
22MANKS_TCAP_C,TX99U8618,2803,Grain yield - kg/ha
22MANKS_TCAP_C,TX07A001420,2835,Grain yield - kg/ha
22MANKS_TCAP_C,OK04505,3326,Grain yield - kg/ha
22MANKS_TCAP_C,OK05511,2049,Grain yield - kg/ha
22MANKS_TCAP_C,ALLIANCE,3525,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2534,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2583,Grain yield - kg/ha
22MANKS_TCAP_C,NUHORIZON,3181,Grain yield - kg/ha
22MANKS_TCAP_C,ROBIDOUX,2442,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2391,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2262,Grain yield - kg/ha
22MANKS_TCAP_C,TX06A001386,2786,Grain yield - kg/ha
22MANKS_TCAP_C,TX04M410211,2333,Grain yield - kg/ha
22MANKS_TCAP_C,ARAPAHOE,2015,Grain yield - kg/ha
22MANKS_TCAP_C,CENTURA,3250,Grain yield - kg/ha
22MANKS_TCAP_C,BOND_CL,3199,Grain yield - kg/ha
22MANKS_TCAP_C,CULVER,3282,Grain yield - kg/ha
22MANKS_TCAP_C,TX04A001246,3041,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3193,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,2572,Grain yield - kg/ha
22MANKS_TCAP_C,VISTA,3673,Grain yield - kg/ha
22MANKS_TCAP_C,COLT,3326,Grain yield - kg/ha
22MANKS_TCAP_C,TX06V7266,3620,Grain yield - kg/ha
22MANKS_TCAP_C,TAM302,3609,Grain yield - kg/ha
22MANKS_TCAP_C,TAM304,3562,Grain yield - kg/ha
22MANKS_TCAP_C,TX07A001420,2981,Grain yield - kg/ha
22MANKS_TCAP_C,W04-417,2856,Grain yield - kg/ha
22MANKS_TCAP_C,THUNDERBOLT,3599,Grain yield - kg/ha
22MANKS_TCAP_C,TAM401,2252,Grain yield - kg/ha
22MANKS_TCAP_C,TX01V5134RC-3,3251,Grain yield - kg/ha
22MANKS_TCAP_C,JUDEE,3446,Grain yield - kg/ha
22MANKS_TCAP_C,TX99U8618,3375,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3063,Grain yield - kg/ha
22MANKS_TCAP_C,TX06A001386,3166,Grain yield - kg/ha
22MANKS_TCAP_C,OK05711W,3726,Grain yield - kg/ha
22MANKS_TCAP_C,TX02A0252,3366,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3593,Grain yield - kg/ha
22MANKS_TCAP_C,TAM302,4083,Grain yield - kg/ha
22MANKS_TCAP_C,OK06114,4159,Grain yield - kg/ha
22MANKS_TCAP_C,HARRY,3768,Grain yield - kg/ha
22MANKS_TCAP_C,LOCKETT,3850,Grain yield - kg/ha
22MANKS_TCAP_C,NI06736,2881,Grain yield - kg/ha
22MANKS_TCAP_C,GOODSTREAK,4145,Grain yield - kg/ha
22MANKS_TCAP_C,CENTURA,3909,Grain yield - kg/ha
22MANKS_TCAP_C,OK05122,4126,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3693,Grain yield - kg/ha
22MANKS_TCAP_C,ALICE,3176,Grain yield - kg/ha
22MANKS_TCAP_C,SANDY,4395,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3980,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3079,Grain yield - kg/ha
22MANKS_TCAP_C,KanMark,3949,Grain yield - kg/ha
22MANKS_TCAP_C,JAGALENE,3505,Grain yield - kg/ha
22MANKS_TCAP_C,BOND_CL,3230,Grain yield - kg/ha
22MANKS_TCAP_C,SPARTAN,3678,Grain yield - kg/ha
22MANKS_TCAP_C,TAM304,4231,Grain yield - kg/ha
22MANKS_TCAP_C,OK05723W,3152,Grain yield - kg/ha
22MANKS_TCAP_C,ROBIDOUX,2924,Grain yield - kg/ha
